company_no,company_id,name,legal_form(if known),website,phone,whatsapp,telegram,vk,email,address,showroom_flag,production_flag,source_url,last_checked_date,search_rank,search_query_first_seen,search_queries_matched,rubrics,org_name,branch_count,rating,review_count,marketplace_links,status
54,70000001027092514,Матрас.ру,,http://rostov.matras.ru; https://ok.ru/group/53756094775512; https://vk.com/matras_ru; https://wa.me/79645537260?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://youtube.com/@MatrasRu,+78006008765; +78632042089,https://wa.me/79645537260?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/matras_ru,https://youtube.com/@MatrasRu,,0,0,https://2gis.ru/rostov-on-don/firm/70000001027092514,2026-02-19,7,корпусная мебель,корпусная мебель,Матрасы; Корпусная мебель; Домашний текстиль,"Матрас.ру, интернет-магазин",1,,0,,ok
55,70000001042857109,Дриада,,http://kuhni-driada.ru; https://vk.com/driadaco; https://wa.me/79613010335?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78007070776; +79613010335,https://wa.me/79613010335?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/driadaco,,"Красноармейская улица, 63",1,0,https://2gis.ru/rostov-on-don/firm/70000001042857109,2026-02-19,7,кухонный салон,кухонный салон; салон кухонь,Мебель для кухни; Мебель на заказ; Корпусная мебель,"Дриада, салон кухонной мебели",1,,0,,ok
56,70000001053765707,Блеск,,https://wa.me/79188528079?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79612869988,https://wa.me/79188528079?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Минина, 6",1,0,https://2gis.ru/rostov-on-don/firm/70000001053765707,2026-02-19,7,салон кухонь,салон кухонь,Мебельные магазины; Корпусная мебель; Мебель для кухни; Сантехника; Мебель на заказ,"Блеск, салон кухонь",1,,0,,ok
57,70000001075875370,Agora,,http://agorashop.ru; https://ok.ru/group/70000002724883; https://t.me/+79281157290; https://vk.com/agorashop.mebel; https://wa.me/79281157290?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78005506888; +79281157290,https://wa.me/79281157290?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79281157290,https://vk.com/agorashop.mebel,,,0,0,https://2gis.ru/rostov-on-don/firm/70000001075875370,2026-02-19,7,элитные кухни,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; шкафы и кухни на заказ; элитные кухни,Мягкая мебель; Корпусная мебель; Матрасы; Мебель для кухни; Детская мебель,"Agora, интернет-магазин мебели",1,5,3,,ok
58,70000001093730567,МебельКор,,http://t.me/mebelkorrnd; http://taplink.cc/mebelkorrnd; https://vk.com/mebelkor_rnd; https://wa.me/79185964802?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79185964802,https://wa.me/79185964802?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/mebelkorrnd,https://vk.com/mebelkor_rnd,,"Иловайская улица, 3а",1,1,https://2gis.ru/rostov-on-don/firm/70000001093730567,2026-02-19,7,фасады для кухни,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; фасады для кухни; шкафы и кухни на заказ,Мебельные фабрики; Мебель на заказ; Мебельные фасады; Мебель для ванных комнат; Мебель для кухни; Корпусная мебель,"МебельКор, семейная производственная компания",1,5,4,,ok
59,3378228002180186,Мебельная миля,,http://mebel-mile.ru,+78632989292,,,,,"Монтажная улица, 4",1,1,https://2gis.ru/rostov-on-don/firm/3378228002180186,2026-02-19,8,производство кухонь,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; производство кухонь; шкафы и кухни на заказ,Мебель на заказ; Мебель для общественного питания; Офисная мебель; Корпусная мебель; Мебель для кухни; Торгово-выставочное оборудование,"Мебельная миля, производственная компания",1,,0,,ok
60,70000001046232472,Финстрой ЮГ,,http://fin-sm.ru; https://t.me/+79381700082; https://wa.me/79381700082?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79381126492; +79381374818; +79381700081; +79381700082; +79381700096; +880055002205,https://wa.me/79381700082?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79381700082,,,"Нефтяной переулок, 1",1,0,https://2gis.ru/rostov-on-don/firm/70000001046232472,2026-02-19,8,фасады для кухни,фасады для кухни,"Мебельные фасады; ДСП, ДВП, фанера; ЛДСП, ДВПО, МДФ; Стеновые панели","Финстрой ЮГ, ООО, группа компаний",1,5,1,,ok
61,70000001049144524,Garny,,https://vk.com/mf_garny,,,,https://vk.com/mf_garny,,"Шолохова проспект, 26",1,0,https://2gis.ru/rostov-on-don/firm/70000001049144524,2026-02-19,8,кухонный салон,кухонный салон,Мебельные магазины; Мебель для кухни,"Garny, сеть кухонных салонов",1,,0,,ok
62,70000001053120497,Мебелармо,,https://t.me/+79613002860; https://vk.com/mebelarmo; https://wa.me/79613002860?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79604558333; +79613002860,https://wa.me/79613002860?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79613002860,https://vk.com/mebelarmo,,"улица Вавилова, 53",1,1,https://2gis.ru/rostov-on-don/firm/70000001053120497,2026-02-19,8,мебель на заказ,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; фабрика кухонь; шкафы и кухни на заказ,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни,"Мебелармо, мебельная фабрика",1,4.8,105,,ok
63,70000001087568255,Кухни для Жизни,,https://t.me/+79281832155; https://wa.me/79281832155?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79281832155,https://wa.me/79281832155?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79281832155,,,"Стачки проспект, 65",1,0,https://2gis.ru/rostov-on-don/firm/70000001087568255,2026-02-19,8,салон кухонь,салон кухонь,Мебель для кухни; Мебель на заказ,"Кухни для Жизни, салон кухонь из Беларуси",1,5,3,,ok
64,3378228001793467,Ангстрем,,http://angstrem-mebel.ru; http://t.me/angstremmebel; https://vk.com/angstremmebel,+79614252099,,http://t.me/angstremmebel,https://vk.com/angstremmebel,,"проспект Королёва, 1д",1,0,https://2gis.ru/rostov-on-don/firm/3378228001793467,2026-02-19,9,производство кухонь,изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; производство кухонь; салон кухонь; шкафы и кухни на заказ,Мебельные магазины; Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни,"Ангстрем, фирменный салон",4,4.7,17,,ok
65,70000001018708083,Формула Шкафа,,,,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001018708083,2026-02-19,9,салон кухонь,салон кухонь,Мебель на заказ; Корпусная мебель,"Формула Шкафа, салон",1,3,2,,ok
66,70000001082422491,Кухни Этерма,,http://eterma-mebel.ru; https://t.me/+79953763800; https://wa.me/79953763800?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79953763800,https://wa.me/79953763800?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79953763800,,,"проспект Королёва, 32",1,1,https://2gis.ru/rostov-on-don/firm/70000001082422491,2026-02-19,9,фабрика кухонь,производство кухонь; фабрика кухонь,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Стеновые панели,"Кухни Этерма, фабрика мебели",1,1,1,,ok
67,70000001006620549,Гармония Уюта,,http://garmonia-yut.ru; http://t.me/design_textil_rostov; https://wa.me/79054297775?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79054297775; +79885648878,https://wa.me/79054297775?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/design_textil_rostov,,,"бульвар Комарова, 20",1,0,https://2gis.ru/rostov-on-don/firm/70000001006620549,2026-02-19,10,салон кухонь,салон кухонь,Портьерные ткани и шторы; Карнизы; Ремонт мебели; Мебель на заказ,"Гармония Уюта, салон",1,5,5,,ok
68,70000001040328337,МногоСна.ру,,http://rostov-na-donu.mnogosna.ru; https://ok.ru/group/53307906785454; https://vk.com/mnogosna,+78007000534,,,https://vk.com/mnogosna,,,0,0,https://2gis.ru/rostov-on-don/firm/70000001040328337,2026-02-19,10,корпусная мебель,корпусная мебель,Матрасы; Корпусная мебель; Домашний текстиль; Товары для новорождённых,"МногоСна.ру, интернет-магазин матрасов, спальной мебели и аксессуаров для сна",1,,0,,ok
69,70000001057310853,Vivat_Bravo,,http://dveri.com; http://mebeloptom.com; https://t.me/+gC-llypzNe80MWEy; https://wa.me/79094201818?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79094201818,https://wa.me/79094201818?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+gC-llypzNe80MWEy,,,"Первоцветная улица, 1",1,1,https://2gis.ru/rostov-on-don/firm/70000001057310853,2026-02-19,10,фабрика кухонь,фабрика кухонь,Бытовая техника; Мебель для кухни; Входные двери; Межкомнатные двери; Мягкая мебель,"Vivat_Bravo, фабрика дверей",1,,0,,ok
70,70000001109164666,Madina,,https://t.me/+79094059198; https://wa.me/79094059198?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79094059198,https://wa.me/79094059198?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79094059198,,,"Таганрогская улица, 181 к6",1,1,https://2gis.ru/rostov-on-don/firm/70000001109164666,2026-02-19,10,фасады для кухни,фабрика кухонь; фасады для кухни,Мебельные фасады; Мебельные фабрики; Мебель на заказ; Мебель для кухни,"Madina, мебельная фабрика",1,,0,,ok
71,3378228001518041,Giulia Novars,,http://t.me/giulianovars_official; http://www.giulianovars.ru; https://pinterest.com/giulianovars; https://t.me/+79604449492; https://wa.me/79604449492?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://youtube.com/GiuliaNovarsOfficial,+79604449492,https://wa.me/79604449492?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/giulianovars_official; https://t.me/+79604449492,,,"Красноармейская улица, 94/92",1,0,https://2gis.ru/rostov-on-don/firm/3378228001518041,2026-02-19,11,производство кухонь,мебель на заказ; производство кухонь; салон кухонь; шкафы и кухни на заказ,Мебельные магазины; Мебель на заказ; Бытовая техника; Мебель для кухни; Мягкая мебель; Корпусная мебель,"Giulia Novars, салон мебели",1,3,2,,ok
72,70000001040810932,Анатомия Сна,,http://rostov-na-donu.anatomiyasna.ru,+78007775417; +78633081812,,,,,,0,0,https://2gis.ru/rostov-on-don/firm/70000001040810932,2026-02-19,11,корпусная мебель,корпусная мебель,Матрасы; Домашний текстиль; Корпусная мебель,"Анатомия Сна, интернет-магазин",1,,0,,ok
73,70000001045687292,Denisov group,,http://Denisov-zerkalo.ru; http://t.me/denisov-mebel.ru; https://t.me/+79085051243; https://wa.me/79085051243?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79085051243; +79882543322,https://wa.me/79085051243?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/denisov-mebel.ru; https://t.me/+79085051243,,,"Локомотивная улица, 2Б",1,0,https://2gis.ru/rostov-on-don/firm/70000001045687292,2026-02-19,11,мебель на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ,Мебель на заказ; Мягкая мебель; Стекло и зеркала,"Denisov group, компания",1,5,2,,ok
74,70000001059407576,Мебель здесь дешевле,,https://wa.me/79287570869?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79287570869,https://wa.me/79287570869?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Шеболдаева, 95а/2",1,0,https://2gis.ru/rostov-on-don/firm/70000001059407576,2026-02-19,11,салон кухонь,корпусная мебель; кухни массив; кухни недорого; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; салон кухонь; шкафы и кухни на заказ,Корпусная мебель; Мебель для кухни; Детская мебель,"Мебель здесь дешевле, салон-магазин",1,5,1,,ok
75,70000001091809616,Зов,,http://zovofficial.com; https://ok.ru/zovofficial; https://t.me/+79381610048; https://vk.com/zovofficial; https://wa.me/79381610048?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://youtube.com/channel/UC_-kWu_YZ8YdztpnxJbqPdA,+79381610048; +79892886677,https://wa.me/79381610048?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79381610048,https://vk.com/zovofficial,,"Стачки проспект, 132",1,0,https://2gis.ru/rostov-on-don/firm/70000001091809616,2026-02-19,11,фасады для кухни,салон кухонь; фасады для кухни,Мебельные магазины; Бытовая техника; Изделия из камня для помещений; Мебельная фурнитура; Сборка мебели; Мебель на заказ; Мебельные фасады; Детская мебель; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат,"Зов, салон белорусской мебели",1,4.3,8,,ok
76,3378228001514154,D&D,,http://www.designdecor.ru,+78632907000,,,,,"Будённовский проспект, 81",1,0,https://2gis.ru/rostov-on-don/firm/3378228001514154,2026-02-19,12,салон кухонь,салон кухонь; шкафы и кухни на заказ,Корпусная мебель; Мягкая мебель; Мебель для кухни; Матрасы; Ковры,"D&D, салон интерьеров",1,,0,,ok
77,70000001017450170,Дверягин,,http://dveryagin.ru; https://t.me/+79381738255; https://vk.com/dveryagin; https://wa.me/79381010949?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79381738255; +79612764885; +880070025831,https://wa.me/79381010949?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79381738255,https://vk.com/dveryagin,,"Стачки проспект, 151",1,0,https://2gis.ru/rostov-on-don/firm/70000001017450170,2026-02-19,12,мебель на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ,Межкомнатные двери; Входные двери; Перегородки; Стеновые панели; Мебель на заказ,Дверягин,3,4.9,141,,ok
78,70000001021558418,Keller,,,+79508570941,,,,,"Локомотивная улица, 2е",1,1,https://2gis.ru/rostov-on-don/firm/70000001021558418,2026-02-19,12,фабрика кухонь,производство кухонь; фабрика кухонь; фасады для кухни,Мебельные фасады; Мебель на заказ; Облицовочные материалы для мебели; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для учебных учреждений; Мебель для ванных комнат; Мебель для общественного питания; Мебель для кухни; Ремонт мебели,"Keller, фабрика мебельных фасадов",1,5,1,,ok
